id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,response_time_num,type_num,license_tf,host_location_tf,host_verifications_num,amenities_num,host_duration,pop_past,pop_future,popularity
421168,2094547,100,97.0,t,t,t,47.70021,-122.35106,2,1.0,1.0,1.0,103.0,2.0,7.0,4.86,4.93,4.94,4.96,4.94,4.74,4.87,f,1,4,2,t,t,2,31,3898,0.44,-0.71,-0.26999999999999996
430610,165390,100,99.0,t,t,t,47.65356,-122.33952,7,3.0,3.0,3.0,358.0,6.0,1124.0,4.88,4.91,4.82,4.89,4.95,4.9,4.75,f,4,4,3,t,t,2,34,4533,-0.68,-0.49,-1.17
447523,2222321,100,83.0,f,t,t,47.68387,-122.29024,2,1.0,1.0,1.0,61.0,3.0,30.0,4.78,4.8,4.74,4.91,4.86,4.75,4.74,f,1,5,2,t,t,2,25,3881,-0.36,1.11,0.7500000000000001
461234,1870781,100,89.0,t,t,t,47.68444,-122.37338,2,1.0,1.0,1.0,99.0,4.0,1125.0,4.85,4.88,4.91,4.94,4.95,4.86,4.87,f,1,4,3,t,t,2,29,3931,0.13,0.04,0.17
475361,2342082,100,50.0,f,t,t,47.71652,-122.29126,1,1.0,1.0,1.0,77.0,30.0,180.0,4.81,4.79,4.91,4.96,4.89,4.57,4.8,f,1,4,2,f,t,2,30,3866,-0.73,1.11,0.3800000000000001
490076,3921530,100,92.0,t,t,t,47.65617,-122.35262,2,1.0,1.0,1.0,114.0,4.0,17.0,4.7,4.78,4.69,4.74,4.85,4.85,4.74,f,3,5,2,t,t,2,36,3704,0.75,-0.81,-0.06000000000000005
491958,2431399,100,97.0,t,t,f,47.56007,-122.27873,4,1.0,1.0,1.0,79.0,2.0,30.0,4.83,4.86,4.94,4.96,4.9,4.73,4.87,f,1,5,3,t,t,2,23,3855,0.4,0.57,0.97
493591,2438665,0,100.0,f,t,t,47.7019,-122.36781,2,1.0,1.0,1.0,70.0,30.0,180.0,4.81,4.75,4.81,4.88,4.87,4.7,4.77,t,4,1,2,t,t,2,43,3854,-0.47,-0.6,-1.0699999999999998
544433,2612779,100,0.0,f,t,t,47.61957,-122.35655,2,1.0,1.0,1.0,95.0,30.0,365.0,4.83,4.88,4.93,4.93,4.9,4.85,4.79,f,1,3,3,f,t,2,24,3833,0.52,-1.88,-1.3599999999999999
552325,306615,100,86.0,f,t,t,47.65043,-122.32021,4,1.0,2.0,2.0,229.0,59.9,360.0,4.7,4.73,4.39,4.94,4.97,4.94,4.67,f,3,4,3,f,f,2,56,4392,-1.02,0.47,-0.55
564220,2774354,100,96.0,f,t,t,47.57783,-122.29251,2,1.0,1.0,1.0,58.0,2.0,21.0,4.77,4.85,4.61,4.94,4.95,4.85,4.84,f,2,5,2,t,t,2,31,3817,-0.36,0.79,0.43000000000000005
564428,2774354,100,96.0,f,t,t,47.57796,-122.29373,2,1.0,1.0,1.0,55.0,2.0,28.0,4.68,4.79,4.5,4.87,4.9,4.66,4.73,f,2,5,2,t,t,2,36,3817,-0.12,1.0,0.88
565703,2781551,100,99.0,t,t,t,47.620624,-122.29714,4,1.0,2.0,2.0,152.0,30.0,1125.0,4.66,4.75,4.59,4.92,4.92,4.83,4.72,t,4,5,3,t,t,3,44,3816,0.18,1.0,1.18
566435,2438665,0,100.0,f,t,t,47.70084,-122.36738,2,4.0,1.0,1.0,75.0,30.0,365.0,4.85,4.77,4.89,4.87,4.89,4.7,4.78,t,4,1,2,t,t,2,29,3854,-0.81,1.11,0.30000000000000004
573942,30559,100,97.0,t,t,t,47.54916,-122.31819,2,3.0,1.0,1.0,75.0,2.0,180.0,4.83,4.78,4.76,4.84,4.87,4.77,4.79,f,9,4,2,t,t,2,38,4871,-0.3,-0.39,-0.69
598023,2613029,100,40.0,f,t,t,47.56162,-122.38812,2,1.0,1.0,1.0,129.0,3.0,29.0,4.73,4.76,4.59,4.9,4.95,4.9,4.62,f,1,4,2,t,t,3,51,3833,-1.07,-1.98,-3.05
604600,103427,58,18.0,f,t,t,47.61326,-122.33148,4,1.0,1.0,2.0,282.0,30.0,30.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,3,3,f,f,2,25,4633,-1.16,-2.09,-3.25
607788,103427,58,18.0,f,t,t,47.61317,-122.33346,2,1.0,0.0,1.0,232.0,2.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,3.0,f,2,3,2,f,f,2,14,4633,-1.16,-2.09,-3.25
609252,3018655,100,0.0,f,t,t,47.69647,-122.36322,4,1.0,2.0,4.0,275.0,30.0,1125.0,5.0,5.0,4.67,5.0,5.0,4.67,4.33,f,1,3,3,t,t,2,41,3793,-1.14,-0.81,-1.95
609610,3022709,100,82.0,f,t,t,47.56994,-122.29403,2,1.0,1.0,1.0,95.0,3.0,90.0,4.83,4.91,4.94,4.91,5.0,4.44,4.91,f,2,4,3,t,t,2,23,3793,-1.04,1.11,0.07000000000000006
609701,3023407,100,98.0,t,t,t,47.65607,-122.35899,2,1.0,1.0,1.0,99.0,4.0,1125.0,4.93,4.95,4.87,4.99,4.97,4.93,4.94,t,1,5,3,t,t,2,43,3792,1.0,1.0,2.0
611509,3032548,100,0.0,f,t,f,47.6638,-122.33827,1,1.0,1.0,1.0,80.0,30.0,60.0,4.89,4.87,4.76,4.9,4.96,4.84,4.82,f,1,5,2,t,t,3,34,3792,-0.84,1.11,0.27000000000000013
620518,3074414,94,95.0,f,t,t,47.67489,-122.29078,2,1.0,1.0,1.0,109.0,30.0,1125.0,3.83,3.92,4.17,3.5,3.75,4.42,3.75,f,115,4,3,t,t,2,40,3788,-1.12,0.79,-0.33000000000000007
631445,3139639,100,100.0,f,t,t,47.61373,-122.34887,4,1.0,1.0,2.0,95.0,30.0,1125.0,4.81,4.83,4.85,4.85,4.79,4.89,4.81,f,1,5,3,f,t,2,38,3782,-0.5,1.11,0.6100000000000001
635878,3074414,94,95.0,f,t,t,47.66313,-122.31428,3,1.0,1.0,2.0,115.0,2.0,1125.0,4.16,4.55,4.42,4.61,4.54,4.5,4.18,f,115,4,3,t,t,2,33,3788,-1.0,1.11,0.1100000000000001
637710,3181546,100,95.0,f,t,t,47.653,-122.35595,8,1.0,3.0,8.0,251.0,2.0,25.0,4.79,4.77,4.52,4.87,4.86,4.94,4.7,f,1,4,3,t,t,2,30,3777,-0.62,-0.49,-1.1099999999999999
654734,3294357,100,96.0,t,t,t,47.61311,-122.32947,4,1.0,1.0,2.0,168.0,30.0,1125.0,4.57,4.62,4.61,4.84,4.85,4.83,4.53,t,4,5,3,f,t,2,22,3767,-0.84,-1.45,-2.29
661708,3340441,100,0.0,f,t,t,47.62563,-122.29181,6,2.5,2.0,4.0,245.0,30.0,120.0,5.0,5.0,4.9,5.0,5.0,5.0,4.8,f,1,4,3,f,t,2,13,3762,-1.08,-1.88,-2.96
677266,30559,100,97.0,t,t,t,47.55041,-122.31857,2,3.0,1.0,1.0,80.0,2.0,30.0,4.64,4.56,4.66,4.73,4.74,4.65,4.61,f,9,4,2,t,t,2,32,4871,-0.7,-0.28,-0.98
677365,926885,100,93.0,t,t,t,47.52957,-122.36013,6,1.0,2.0,3.0,137.0,1.3,1125.0,4.9,4.96,4.95,4.97,4.95,4.86,4.88,f,2,5,3,t,t,2,37,4145,0.74,-1.24,-0.5
681866,103825,0,0.0,f,t,f,47.59245,-122.30322,2,1.0,1.0,1.0,60.0,30.0,30.0,4.98,5.0,4.95,5.0,5.0,4.63,4.95,f,1,1,2,f,t,2,25,4632,-1.0,1.11,0.1100000000000001
689309,3520873,0,0.0,f,t,t,47.72131,-122.35846,2,1.0,1.0,1.0,146.0,30.0,365.0,4.94,5.0,5.0,5.0,5.0,4.88,4.88,f,1,1,2,t,t,2,33,3744,-1.1,-1.98,-3.08
703058,1611114,100,100.0,t,t,t,47.65144,-122.33734,4,1.0,2.0,2.0,265.0,4.0,27.0,4.96,4.95,4.98,4.98,5.0,4.99,4.89,f,1,5,3,t,t,2,41,3982,-0.38,1.11,0.7300000000000001
704764,3620313,100,98.0,t,t,t,47.64057,-122.36956,4,1.0,2.0,2.0,175.0,1.3,16.0,4.91,4.93,4.95,4.94,4.96,4.89,4.88,f,1,5,3,t,f,2,18,3734,0.15,0.04,0.19
706385,2070664,100,93.0,t,t,t,47.64307,-122.32556,2,1.0,1.0,1.0,137.0,3.0,1125.0,4.98,4.98,4.99,4.97,4.98,4.94,4.9,f,1,5,3,t,t,2,17,3902,0.94,1.0,1.94
708774,316200,100,100.0,t,t,t,47.64,-122.32412,4,1.0,1.0,2.0,109.0,30.0,1125.0,4.87,4.96,4.95,4.98,4.95,4.78,4.82,t,7,5,3,f,t,3,29,4382,-0.62,1.11,0.4900000000000001
